Semente;Valor de N;Algoritmo;Data Inicio;Tempo de Execucao(ns);Memoria Gasta;Comparacoes;Colisoes
4;100000;Encadeamento Coalescido;16/05/2019 04:22:00;2091003000;754532400;11226296;11203520
5;1000;Sondagem Linear;16/05/2019 04:22:03;3353700;884909368;17032;15505
5;1000;Sondagem Quadratica;16/05/2019 04:22:04;2520900;884909368;6009;4482
5;1000;Duplo Hashing;16/05/2019 04:22:04;2488900;884909368;1527;0
5;1000;Encadeamento Separado;16/05/2019 04:22:04;2773300;884909368;1527;763
5;1000;Encadeamento Coalescido;16/05/2019 04:22:04;3881500;884909368;115571;113693
5;5000;Sondagem Linear;16/05/2019 04:22:37;45259500;761446816;176577;171702
5;5000;Sondagem Quadratica;16/05/2019 04:22:37;42351300;761446816;23138;18263
5;5000;Duplo Hashing;16/05/2019 04:22:37;50078200;761446816;4875;0
5;5000;Encadeamento Separado;16/05/2019 04:22:37;41821200;761446816;4875;2437
5;5000;Encadeamento Coalescido;16/05/2019 04:22:37;73355600;761446816;1041407;1035456
5;10000;Sondagem Linear;16/05/2019 04:24:19;137576900;691107720;489872;482793
5;10000;Sondagem Quadratica;16/05/2019 04:24:19;132202300;691107720;35081;28002
5;10000;Duplo Hashing;16/05/2019 04:24:20;105804400;697109240;7079;0
5;10000;Encadeamento Separado;16/05/2019 04:24:20;93069000;697109240;7079;3539
5;10000;Encadeamento Coalescido;16/05/2019 04:24:20;149489100;697109240;2121589;2112979
5;50000;Sondagem Linear;16/05/2019 05:09:20;1032018400;803642056;3101841;3086974
5;50000;Sondagem Quadratica;16/05/2019 05:09:21;1007202500;808245304;125131;110264
5;50000;Duplo Hashing;16/05/2019 05:09:23;946675400;808245304;14867;0
5;50000;Encadeamento Separado;16/05/2019 05:09:24;954235200;808245304;14867;7433
5;50000;Encadeamento Coalescido;16/05/2019 05:09:26;1176774100;808245304;7264248;7246518
5;100000;Sondagem Linear;16/05/2019 06:29:08;920317500;906439112;4950648;4931453
5;100000;Sondagem Quadratica;16/05/2019 06:29:09;861704600;906439112;108274;89079
5;100000;Duplo Hashing;16/05/2019 06:29:10;826149000;906439112;19195;0
5;100000;Encadeamento Separado;16/05/2019 06:29:11;838460100;906439112;19195;9597
5;100000;Encadeamento Coalescido;16/05/2019 06:29:13;1022138101;906439112;11037784;11015126
1;500000;Sondagem Linear;16/05/2019 11:16:33;1765539500;893978696;27882674;27849967
1;500000;Sondagem Quadratica;16/05/2019 11:16:36;1432207300;894846688;327158;294451
1;500000;Duplo Hashing;16/05/2019 11:16:38;1439028100;895276592;32707;0
1;500000;Encadeamento Separado;16/05/2019 11:16:40;1428089600;896136400;32707;16353
1;500000;Encadeamento Coalescido;16/05/2019 11:16:42;1874444500;897426120;26332314;26293575
